condition,model,arm,auc,auc_lo,auc_hi,n,source_artifact
forward,Qwen/Qwen2.5-7B-Instruct,in_format,0.968333,0.935234,0.99277,120,results/run-005-qwen-rerun/curve.csv
forward,Qwen/Qwen2.5-7B-Instruct,cross_format,0.648978,0.583359,0.707517,300,results/run-005-qwen-rerun/curve.csv
forward,Qwen/Qwen2.5-7B-Instruct,internal,0.990489,0.979603,0.997953,300,results/run-005-qwen-rerun/curve.csv
forward,meta-llama/Llama-3.1-8B-Instruct,in_format,0.992222,0.980698,0.998888,120,results/real/curve.csv
forward,meta-llama/Llama-3.1-8B-Instruct,cross_format,0.981733,0.963556,0.995559,300,results/real/curve.csv
forward,meta-llama/Llama-3.1-8B-Instruct,internal,1.0,1.0,1.0,300,results/real/curve.csv
forward,mistralai/Mistral-7B-Instruct-v0.3,in_format,0.965833,0.929783,0.992082,120,results/run-002/curve.csv
forward,mistralai/Mistral-7B-Instruct-v0.3,cross_format,0.979511,0.961021,0.9936,300,results/run-002/curve.csv
forward,mistralai/Mistral-7B-Instruct-v0.3,internal,0.996178,0.99071,0.999555,300,results/run-002/curve.csv
reverse,Qwen/Qwen2.5-7B-Instruct,in_format,1.0,1.0,1.0,60,results/run-003/qwen/curve.csv
reverse,Qwen/Qwen2.5-7B-Instruct,cross_format,0.678178,0.632385,0.720045,600,results/run-003/qwen/curve.csv
reverse,Qwen/Qwen2.5-7B-Instruct,internal,0.975111,0.962113,0.985798,600,results/run-003/qwen/curve.csv
reverse,meta-llama/Llama-3.1-8B-Instruct,in_format,1.0,1.0,1.0,60,results/run-003/llama/curve.csv
reverse,meta-llama/Llama-3.1-8B-Instruct,cross_format,0.4321,0.386722,0.479018,600,results/run-003/llama/curve.csv
reverse,meta-llama/Llama-3.1-8B-Instruct,internal,0.981322,0.972474,0.989331,600,results/run-003/llama/curve.csv
hard,Qwen/Qwen2.5-7B-Instruct,in_format,0.968333,0.935234,0.99277,120,results/run-004/qwen/curve.csv
hard,Qwen/Qwen2.5-7B-Instruct,cross_format,0.337247,0.265101,0.416429,232,results/run-004/qwen/curve.csv
hard,Qwen/Qwen2.5-7B-Instruct,internal,0.975847,0.953251,0.993685,232,results/run-004/qwen/curve.csv
hard,meta-llama/Llama-3.1-8B-Instruct,in_format,0.992222,0.980698,0.998888,120,results/run-004/llama/curve.csv
hard,meta-llama/Llama-3.1-8B-Instruct,cross_format,0.98915,0.971832,0.999553,232,results/run-004/llama/curve.csv
hard,meta-llama/Llama-3.1-8B-Instruct,internal,0.988109,0.96916,0.99918,232,results/run-004/llama/curve.csv
