arm,k,pass_at_k,ci_lo,ci_hi,n_problems
base,1,0.651250,0.604836,0.694068,200
base,2,0.779199,0.736026,0.819648,200
base,4,0.863924,0.826376,0.897049,200
base,8,0.919211,0.886994,0.946346,200
base,16,0.953506,0.926987,0.975444,200
base,32,0.971706,0.948587,0.990224,200
base,64,0.980000,0.960000,0.995000,200
rl,1,0.709219,0.665613,0.752660,200
rl,2,0.811605,0.769848,0.852591,200
rl,4,0.876180,0.839963,0.911478,200
rl,8,0.920345,0.890289,0.949121,200
rl,16,0.950325,0.925127,0.973561,200
rl,32,0.968097,0.944791,0.988007,200
rl,64,0.975000,0.950000,0.995000,200
elicit_fewshot,1,0.643750,0.595000,0.691891,200
elicit_fewshot,2,0.767500,0.721429,0.812330,200
elicit_fewshot,4,0.856286,0.813071,0.895291,200
elicit_fewshot,8,0.910000,0.870000,0.945000,200
elicit_bon,1,0.654375,0.608117,0.700000,200
elicit_bon,2,0.776583,0.732456,0.819418,200
elicit_bon,4,0.862462,0.823891,0.898026,200
elicit_bon,8,0.923348,0.890539,0.950666,200
elicit_bon,16,0.965000,0.935000,0.985000,200
